x,g_x,line_45
0.0000000000,0.0000000000,0.0000000000
0.0010010010,0.0039999960,0.0010010010
0.0020020020,0.0079919760,0.0020020020
0.0030030030,0.0119759399,0.0030030030
0.0040040040,0.0159518878,0.0040040040
0.0050050050,0.0199198197,0.0050050050
0.0060060060,0.0238797356,0.0060060060
0.0070070070,0.0278316354,0.0070070070
0.0080080080,0.0317755193,0.0080080080
0.0090090090,0.0357113871,0.0090090090
0.0100100100,0.0396392388,0.0100100100
0.0110110110,0.0435590746,0.0110110110
0.0120120120,0.0474708943,0.0120120120
0.0130130130,0.0513746980,0.0130130130
0.0140140140,0.0552704857,0.0140140140
0.0150150150,0.0591582574,0.0150150150
0.0160160160,0.0630380130,0.0160160160
0.0170170170,0.0669097526,0.0170170170
0.0180180180,0.0707734762,0.0180180180
0.0190190190,0.0746291837,0.0190190190
0.0200200200,0.0784768753,0.0200200200
0.0210210210,0.0823165508,0.0210210210
0.0220220220,0.0861482103,0.0220220220
0.0230230230,0.0899718537,0.0230230230
0.0240240240,0.0937874812,0.0240240240
0.0250250250,0.0975950926,0.0250250250
0.0260260260,0.1013946880,0.0260260260
0.0270270270,0.1051862673,0.0270270270
0.0280280280,0.1089698307,0.0280280280
0.0290290290,0.1127453780,0.0290290290
0.0300300300,0.1165129093,0.0300300300
0.0310310310,0.1202724246,0.0310310310
0.0320320320,0.1240239238,0.0320320320
0.0330330330,0.1277674070,0.0330330330
0.0340340340,0.1315028742,0.0340340340
0.0350350350,0.1352303254,0.0350350350
0.0360360360,0.1389497606,0.0360360360
0.0370370370,0.1426611797,0.0370370370
0.0380380380,0.1463645828,0.0380380380
0.0390390390,0.1500599699,0.0390390390
0.0400400400,0.1537473409,0.0400400400
0.0410410410,0.1574266960,0.0410410410
0.0420420420,0.1610980350,0.0420420420
0.0430430430,0.1647613580,0.0430430430
0.0440440440,0.1684166649,0.0440440440
0.0450450450,0.1720639558,0.0450450450
0.0460460460,0.1757032308,0.0460460460
0.0470470470,0.1793344896,0.0470470470
0.0480480480,0.1829577325,0.0480480480
0.0490490490,0.1865729593,0.0490490490
0.0500500501,0.1901801702,0.0500500501
0.0510510511,0.1937793650,0.0510510511
0.0520520521,0.1973705437,0.0520520521
0.0530530531,0.2009537065,0.0530530531
0.0540540541,0.2045288532,0.0540540541
0.0550550551,0.2080959839,0.0550550551
0.0560560561,0.2116550985,0.0560560561
0.0570570571,0.2152061972,0.0570570571
0.0580580581,0.2187492798,0.0580580581
0.0590590591,0.2222843464,0.0590590591
0.0600600601,0.2258113970,0.0600600601
0.0610610611,0.2293304315,0.0610610611
0.0620620621,0.2328414501,0.0620620621
0.0630630631,0.2363444526,0.0630630631
0.0640640641,0.2398394390,0.0640640641
0.0650650651,0.2433264095,0.0650650651
0.0660660661,0.2468053639,0.0660660661
0.0670670671,0.2502763023,0.0670670671
0.0680680681,0.2537392247,0.0680680681
0.0690690691,0.2571941311,0.0690690691
0.0700700701,0.2606410214,0.0700700701
0.0710710711,0.2640798957,0.0710710711
0.0720720721,0.2675107540,0.0720720721
0.0730730731,0.2709335963,0.0730730731
0.0740740741,0.2743484225,0.0740740741
0.0750750751,0.2777552327,0.0750750751
0.0760760761,0.2811540269,0.0760760761
0.0770770771,0.2845448051,0.0770770771
0.0780780781,0.2879275672,0.0780780781
0.0790790791,0.2913023133,0.0790790791
0.0800800801,0.2946690434,0.0800800801
0.0810810811,0.2980277575,0.0810810811
0.0820820821,0.3013784555,0.0820820821
0.0830830831,0.3047211376,0.0830830831
0.0840840841,0.3080558036,0.0840840841
0.0850850851,0.3113824535,0.0850850851
0.0860860861,0.3147010875,0.0860860861
0.0870870871,0.3180117054,0.0870870871
0.0880880881,0.3213143073,0.0880880881
0.0890890891,0.3246088932,0.0890890891
0.0900900901,0.3278954630,0.0900900901
0.0910910911,0.3311740169,0.0910910911
0.0920920921,0.3344445547,0.0920920921
0.0930930931,0.3377070764,0.0930930931
0.0940940941,0.3409615822,0.0940940941
0.0950950951,0.3442080719,0.0950950951
0.0960960961,0.3474465456,0.0960960961
0.0970970971,0.3506770033,0.0970970971
0.0980980981,0.3538994450,0.0980980981
0.0990990991,0.3571138706,0.0990990991
0.1001001001,0.3603202802,0.1001001001
0.1011011011,0.3635186738,0.1011011011
0.1021021021,0.3667090514,0.1021021021
0.1031031031,0.3698914129,0.1031031031
0.1041041041,0.3730657585,0.1041041041
0.1051051051,0.3762320879,0.1051051051
0.1061061061,0.3793904014,0.1061061061
0.1071071071,0.3825406989,0.1071071071
0.1081081081,0.3856829803,0.1081081081
0.1091091091,0.3888172457,0.1091091091
0.1101101101,0.3919434950,0.1101101101
0.1111111111,0.3950617284,0.1111111111
0.1121121121,0.3981719457,0.1121121121
0.1131131131,0.4012741470,0.1131131131
0.1141141141,0.4043683323,0.1141141141
0.1151151151,0.4074545015,0.1151151151
0.1161161161,0.4105326548,0.1161161161
0.1171171171,0.4136027920,0.1171171171
0.1181181181,0.4166649132,0.1181181181
0.1191191191,0.4197190183,0.1191191191
0.1201201201,0.4227651074,0.1201201201
0.1211211211,0.4258031806,0.1211211211
0.1221221221,0.4288332376,0.1221221221
0.1231231231,0.4318552787,0.1231231231
0.1241241241,0.4348693037,0.1241241241
