t,x_t
0,0.3000000000
1,0.8400000000
2,0.5376000000
3,0.9943449600
4,0.0224922421
5,0.0879453645
6,0.3208439096
7,0.8716123811
8,0.4476169529
9,0.9890240655
10,0.0434218534
11,0.1661455844
12,0.5541649166
13,0.9882646472
14,0.0463905371
15,0.1769538205
16,0.5825646637
17,0.9727323053
18,0.1060966703
19,0.3793606673
20,0.9417846056
21,0.2193054490
22,0.6848422761
23,0.8633333318
24,0.4719555600
25,0.9968540375
26,0.0125442616
27,0.0495476122
28,0.1883705854
29,0.6115484318
30,0.9502277894
31,0.1891797505
32,0.6135630901
33,0.9484136983
34,0.1957006207
35,0.6296075511
36,0.9328075308
37,0.2507105651
38,0.7514191106
39,0.7471537233
40,0.7556601483
41,0.7385515543
42,0.7723726239
43,0.7032526151
44,0.8347534978
45,0.5517603828
46,0.9892834511
47,0.0424068180
48,0.1624339191
49,0.5441965642
50,0.9921866548
51,0.0310091872
52,0.1201904699
53,0.4229788835
54,0.9762709904
55,0.0926637747
56,0.3363087982
57,0.8928207619
58,0.3827673962
59,0.9450260664
60,0.2078072008
61,0.6584934724
62,0.8995192769
63,0.3615373896
64,0.9233124221
65,0.2832263733
66,0.8120367791
67,0.6105321941
68,0.9511305363
69,0.1859249569
70,0.6054274692
71,0.9555401949
72,0.1699325232
73,0.5642218430
74,0.9835022195
75,0.0649024148
76,0.2427603654
77,0.7353110815
78,0.7785147797
79,0.6897180700
80,0.8560282157
81,0.4929756385
82,0.9998026334
83,0.0007893107
84,0.0031547506
85,0.0125791926
86,0.0496838259
87,0.1888613733
88,0.6127710198
89,0.9491307884
90,0.1931261397
91,0.6233137355
92,0.9391748906
93,0.2285016619
94,0.7051546096
95,0.8316463446
96,0.5600428084
97,0.9855794446
98,0.0568504119
99,0.2144737701
100,0.6738990882
101,0.8790364284
102,0.4253255436
103,0.9776949023
104,0.0872303214
105,0.3184847696
106,0.8682088846
107,0.4576888693
108,0.9928390729
109,0.0284385930
110,0.1105193577
111,0.3932193172
112,0.9543915431
113,0.1741133023
114,0.5751914411
115,0.9773849888
116,0.0884142900
117,0.3223888134
118,0.8738170655
119,0.4410432060
120,0.9860963858
121,0.0548412149
122,0.2073346242
123,0.6573879113
124,0.9009161815
125,0.3570648617
126,0.9182781849
127,0.3001734400
128,0.8402773836
129,0.5368452087
130,0.9945697224
131,0.0216031588
132,0.0845458494
133,0.3095913951
134,0.8549782528
135,0.4959617603
136,0.9999347705
137,0.0002609011
138,0.0010433320
139,0.0041689737
140,0.0166063736
141,0.0653224079
142,0.2442215637
143,0.7383095661
144,0.7728342028
145,0.7022459912
146,0.8363862361
147,0.5473772006
148,0.9910216035
149,0.0355911397
